Frame Cars_Data PathLoss RSSI
80 "[{'vehId': 'veh0', 'x_coor': -486.6541998739441, 'y_coor': 393.0446534291493, 'z_coor': 349.5142517089844, 'angle': -3.7935247271659898, 'velocity': 17.466681221704746}, {'vehId': 'veh1', 'x_coor': -317.67579636575545, 'y_coor': 167.5480259313365, 'z_coor': 396.5101623535156, 'angle': -5.609357392610566, 'velocity': 15.494023681073324}, {'vehId': 'veh2', 'x_coor': 656.6347405409072, 'y_coor': 238.57846828855259, 'z_coor': 162.02801513671875, 'angle': -2.16526126259315, 'velocity': 24.361970615610478}, {'vehId': 'veh3', 'x_coor': -189.80287640862548, 'y_coor': 29.261982485935505, 'z_coor': 421.52996826171875, 'angle': -5.984993430311999, 'velocity': 16.761903924888763}]" "{'veh0': {'veh0': 0, 'veh1': -93.77433776855469, 'veh2': 0, 'veh3': -104.64651107788086}, 'veh1': {'veh0': -94.1982650756836, 'veh1': 0, 'veh2': 0, 'veh3': -100.7740306854248}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': -112.92009353637695}, 'veh3': {'veh0': -105.44891357421875, 'veh1': -97.58004188537598, 'veh2': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 21.333709716796875, 'veh2': -200, 'veh3': 27.789119720458984}, 'veh1': {'veh0': 21.75763702392578, 'veh1': 0, 'veh2': -200, 'veh3': 31.875761032104492}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': 30.418689727783203}, 'veh3': {'veh0': 28.591522216796875, 'veh1': 28.681772232055664, 'veh2': 117.49859619140625, 'veh3': 0}}"
81 "[{'vehId': 'veh0', 'x_coor': -473.22499474847507, 'y_coor': 382.7359985176274, 'z_coor': 350.07489013671875, 'angle': -3.79628154118394, 'velocity': 16.929777573277057}, {'vehId': 'veh1', 'x_coor': -327.90813036938323, 'y_coor': 157.25392623187702, 'z_coor': 396.1495361328125, 'angle': -5.49088117622353, 'velocity': 14.514661678406284}, {'vehId': 'veh2', 'x_coor': 669.5742612450767, 'y_coor': 259.8984031629054, 'z_coor': 158.90994262695312, 'angle': -2.066011141336687, 'velocity': 24.95438592044171}, {'vehId': 'veh3', 'x_coor': -206.1738240602656, 'y_coor': 24.23070171551001, 'z_coor': 419.82818603515625, 'angle': -5.985017525776325, 'velocity': 17.126679298046806}]" "{'veh0': {'veh0': 0, 'veh1': -92.99399375915527, 'veh2': 0, 'veh3': -105.8705997467041}, 'veh1': {'veh0': -93.47681999206543, 'veh1': 0, 'veh2': 0, 'veh3': -100.28070449829102}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': -113.06634902954102}, 'veh3': {'veh0': -200, 'veh1': -97.75489807128906, 'veh2': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 20.973730087280273, 'veh2': -200, 'veh3': 29.436120986938477}, 'veh1': {'veh0': 21.45655632019043, 'veh1': 0, 'veh2': -200, 'veh3': 31.762561798095703}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': 30.24661636352539}, 'veh3': {'veh0': 123.56552124023438, 'veh1': 29.23675537109375, 'veh2': 117.18026733398438, 'veh3': 0}}"
82 "[{'vehId': 'veh0', 'x_coor': -459.91151607393874, 'y_coor': 372.51617865149, 'z_coor': 351.15313720703125, 'angle': -3.79628154118394, 'velocity': 16.783884867392295}, {'vehId': 'veh1', 'x_coor': -339.11585317153356, 'y_coor': 146.5072922393232, 'z_coor': 395.6715087890625, 'angle': -5.563101728186214, 'velocity': 15.539734940896617}, {'vehId': 'veh2', 'x_coor': 677.3407288804603, 'y_coor': 282.8759804494032, 'z_coor': 162.5608367919922, 'angle': -1.8877882495378286, 'velocity': 24.258536702175622}, {'vehId': 'veh3', 'x_coor': -223.42311439634386, 'y_coor': 18.932585422865145, 'z_coor': 418.0352478027344, 'angle': -5.985611205661074, 'velocity': 18.04468521931937}]" "{'veh0': {'veh0': 0, 'veh1': -94.62549209594727, 'veh2': 0, 'veh3': -200}, 'veh1': {'veh0': -94.64234352111816, 'veh1': 0, 'veh2': 0, 'veh3': -200}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': -116.43328666687012}, 'veh3': {'veh0': -108.2271957397461, 'veh1': -200, 'veh2': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 22.999454498291016, 'veh2': -200, 'veh3': 123.99526977539062}, 'veh1': {'veh0': 23.016305923461914, 'veh1': 0, 'veh2': -200, 'veh3': 131.88250732421875}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': 33.34982109069824}, 'veh3': {'veh0': 32.22246551513672, 'veh1': 131.88250732421875, 'veh2': 116.91653442382812, 'veh3': 0}}"
83 "[{'vehId': 'veh0', 'x_coor': -446.6982852213763, 'y_coor': 362.37331197749654, 'z_coor': 352.680908203125, 'angle': -3.796281541183954, 'velocity': 16.657505583409034}, {'vehId': 'veh1', 'x_coor': -351.4422650216844, 'y_coor': 138.3814109975308, 'z_coor': 395.3011169433594, 'angle': -5.7432819625357086, 'velocity': 14.782243178682277}, {'vehId': 'veh2', 'x_coor': 685.7254472565148, 'y_coor': 306.37700001986605, 'z_coor': 172.8926544189453, 'angle': -2.017382641642964, 'velocity': 25.021545000551267}, {'vehId': 'veh3', 'x_coor': -239.63257173139982, 'y_coor': 14.62227981540002, 'z_coor': 416.89312744140625, 'angle': -6.062356537450242, 'velocity': 16.779021853206512}]" "{'veh0': {'veh0': 0, 'veh1': -94.19719696044922, 'veh2': 0, 'veh3': -105.7254695892334}, 'veh1': {'veh0': -94.19719696044922, 'veh1': 0, 'veh2': 0, 'veh3': -103.10361862182617}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh0': -200, 'veh1': -103.09528350830078, 'veh2': 0, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 23.016319274902344, 'veh2': -200, 'veh3': 30.151037216186523}, 'veh1': {'veh0': 23.016319274902344, 'veh1': 0, 'veh2': -200, 'veh3': 35.26508712768555}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh0': 124.42556762695312, 'veh1': 35.256752014160156, 'veh2': -200, 'veh3': 0}}"
84 "[{'vehId': 'veh0', 'x_coor': -432.2236609694038, 'y_coor': 352.69088825679455, 'z_coor': 355.0263366699219, 'angle': -3.680424792046993, 'velocity': 17.43641919355821}, {'vehId': 'veh1', 'x_coor': -364.44392535143527, 'y_coor': 130.98667624566474, 'z_coor': 394.6449890136719, 'angle': -5.7976020805306305, 'velocity': 14.962860000100793}, {'vehId': 'veh2', 'x_coor': 700.8174954382337, 'y_coor': 325.0632279233721, 'z_coor': 179.8020782470703, 'angle': -2.386612780531365, 'velocity': 24.20273328934796}, {'vehId': 'veh3', 'x_coor': -256.8064422838239, 'y_coor': 16.758449411418383, 'z_coor': 416.0335998535156, 'angle': -6.59398851380274, 'velocity': 17.54780472079089}]" "{'veh0': {'veh0': 0, 'veh1': -92.54547119140625, 'veh2': 0, 'veh3': -106.075439453125}, 'veh1': {'veh0': -93.76799583435059, 'veh1': 0, 'veh2': 0, 'veh3': -115.34932136535645}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh0': -106.75389289855957, 'veh1': -200, 'veh2': 0, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 21.793792724609375, 'veh2': -200, 'veh3': 31.068984985351562}, 'veh1': {'veh0': 23.01631736755371, 'veh1': 0, 'veh2': -200, 'veh3': 48.03093147277832}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh0': 31.747438430786133, 'veh1': 132.68161010742188, 'veh2': -200, 'veh3': 0}}"
85 "[{'vehId': 'veh0', 'x_coor': -415.1007468860065, 'y_coor': 349.97856565910365, 'z_coor': 359.1047668457031, 'angle': -3.1440760932357907, 'velocity': 17.612889537303523}, {'vehId': 'veh1', 'x_coor': -377.8667546790738, 'y_coor': 125.6420485771688, 'z_coor': 393.5966796875, 'angle': -6.0270140353440755, 'velocity': 14.526154009871991}, {'vehId': 'veh2', 'x_coor': 719.7747205803576, 'y_coor': 339.7109410099083, 'z_coor': 182.50157165527344, 'angle': -2.448220949742683, 'velocity': 23.99620500417892}, {'vehId': 'veh3', 'x_coor': -269.90233705962214, 'y_coor': 28.241560497819364, 'z_coor': 416.0, 'angle': -7.2523688844789955, 'velocity': 17.737147995012645}]" "{'veh0': {'veh0': 0, 'veh1': -93.36755752563477, 'veh2': 0, 'veh3': -200}, 'veh1': {'veh0': -93.30018043518066, 'veh1': 0, 'veh2': 0, 'veh3': -86.90203666687012}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh0': -200, 'veh1': -86.88393592834473, 'veh2': 0, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 22.809619903564453, 'veh2': -200, 'veh3': 125.61038208007812}, 'veh1': {'veh0': 22.74224281311035, 'veh1': 0, 'veh2': -200, 'veh3': 20.225309371948242}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh0': 125.61038208007812, 'veh1': 20.20720863342285, 'veh2': -200, 'veh3': 0}}"
86 "[{'vehId': 'veh0', 'x_coor': -398.0527990488664, 'y_coor': 350.7621731745294, 'z_coor': 363.8543701171875, 'angle': -3.082521671729154, 'velocity': 17.063454604935647}, {'vehId': 'veh1', 'x_coor': -392.04030348523213, 'y_coor': 128.2459021575247, 'z_coor': 390.748291015625, 'angle': -6.750851106149949, 'velocity': 14.842271154224747}, {'vehId': 'veh2', 'x_coor': 738.7424478830819, 'y_coor': 354.86675509756674, 'z_coor': 180.76663208007812, 'angle': -2.480883012618031, 'velocity': 24.2824005268421}, {'vehId': 'veh3', 'x_coor': -273.55828071796805, 'y_coor': 44.620215698357924, 'z_coor': 415.7198486328125, 'angle': -7.7155801584695345, 'velocity': 16.88874365694152}]" "{'veh0': {'veh0': 0, 'veh1': -93.35278511047363, 'veh2': 0, 'veh3': -110.72599411010742}, 'veh1': {'veh0': -93.35278511047363, 'veh1': 0, 'veh2': 0, 'veh3': -87.36201286315918}, 'veh2': {'veh0': 0, 'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh0': -200, 'veh1': -87.41851806640625, 'veh2': 0, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh1': 23.016313552856445, 'veh2': -200, 'veh3': 36.91410446166992}, 'veh1': {'veh0': 23.016313552856445, 'veh1': 0, 'veh2': -200, 'veh3': 20.683332443237305}, 'veh2': {'veh0': -200, 'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh0': 126.1881103515625, 'veh1': 20.739837646484375, 'veh2': -200, 'veh3': 0}}"
87 "[{'vehId': 'veh1', 'x_coor': -399.8884746369829, 'y_coor': 140.4324554632916, 'z_coor': 388.1277770996094, 'angle': -7.5321629454053705, 'velocity': 14.893664059638851}, {'vehId': 'veh2', 'x_coor': 757.1334186145809, 'y_coor': 370.1220790802529, 'z_coor': 180.81687927246094, 'angle': -2.328979433789757, 'velocity': 24.014863548348657}, {'vehId': 'veh3', 'x_coor': -275.27476667298913, 'y_coor': 61.981702312214225, 'z_coor': 413.69830322265625, 'angle': -7.755742848870196, 'velocity': 17.44629913610203}]" "{'veh1': {'veh1': 0, 'veh2': 0, 'veh3': -87.79254913330078}, 'veh2': {'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh1': -87.71721839904785, 'veh2': 0, 'veh3': 0}}" "{'veh1': {'veh1': 0, 'veh2': -200, 'veh3': 20.97917938232422}, 'veh2': {'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh1': 20.90384864807129, 'veh2': -200, 'veh3': 0}}"
88 "[{'vehId': 'veh1', 'x_coor': -396.29462376350193, 'y_coor': 154.434040363843, 'z_coor': 388.3505554199219, 'angle': -2.099496372130275, 'velocity': 14.909161852663258}, {'vehId': 'veh2', 'x_coor': 774.5829233676411, 'y_coor': 387.4388104696036, 'z_coor': 183.21275329589844, 'angle': -2.376299878941399, 'velocity': 24.59779166303575}, {'vehId': 'veh3', 'x_coor': -277.0016663782577, 'y_coor': 79.50371025195136, 'z_coor': 410.9267883300781, 'angle': -7.755742848870193, 'velocity': 17.606943424789065}]" "{'veh1': {'veh1': 0, 'veh2': 0, 'veh3': -85.6344223022461}, 'veh2': {'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh1': -85.62257766723633, 'veh2': 0, 'veh3': 0}}" "{'veh1': {'veh1': 0, 'veh2': -200, 'veh3': 19.224571228027344}, 'veh2': {'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh1': 19.212726593017578, 'veh2': -200, 'veh3': 0}}"
89 "[{'vehId': 'veh1', 'x_coor': -385.50956202934174, 'y_coor': 165.3586660721253, 'z_coor': 389.9495849609375, 'angle': -2.3818298987140123, 'velocity': 15.37858580554823}, {'vehId': 'veh2', 'x_coor': 796.346548885507, 'y_coor': 400.0681059782228, 'z_coor': 185.789794921875, 'angle': -2.6895689310594144, 'velocity': 25.211635796204206}, {'vehId': 'veh3', 'x_coor': -278.8186086115278, 'y_coor': 96.71721135879443, 'z_coor': 406.77374267578125, 'angle': -7.741481560137239, 'velocity': 17.309609538687223}]" "{'veh1': {'veh1': 0, 'veh2': 0, 'veh3': -84.13124084472656}, 'veh2': {'veh1': 0, 'veh2': 0, 'veh3': 0}, 'veh3': {'veh1': -84.12184715270996, 'veh2': 0, 'veh3': 0}}" "{'veh1': {'veh1': 0, 'veh2': -200, 'veh3': 18.66558837890625}, 'veh2': {'veh1': -200, 'veh2': 0, 'veh3': -200}, 'veh3': {'veh1': 18.65619468688965, 'veh2': -200, 'veh3': 0}}"
90 "[{'vehId': 'veh1', 'x_coor': -374.94482273600875, 'y_coor': 175.1276989638361, 'z_coor': 389.6134338378906, 'angle': -2.3957947933771626, 'velocity': 14.389235265054614}, {'vehId': 'veh2', 'x_coor': 817.9633583433065, 'y_coor': 411.90292856617543, 'z_coor': 188.0039825439453, 'angle': -2.597688216421384, 'velocity': 24.684434512108563}, {'vehId': 'veh3', 'x_coor': -280.6891364294636, 'y_coor': 113.76603487567468, 'z_coor': 405.31146240234375, 'angle': -7.751037352457046, 'velocity': 17.15134673374502}, {'vehId': 'veh4', 'x_coor': -1084.1181069384847, 'y_coor': 679.490010234379, 'z_coor': 241.10400390625, 'angle': -4.499631273563114, 'velocity': 0.0}]" "{'veh1': {'veh1': 0, 'veh2': 0, 'veh3': -87.44393348693848, 'veh4': -101.49389266967773}, 'veh2': {'veh1': 0, 'veh2': 0, 'veh3': 0, 'veh4': 0}, 'veh3': {'veh1': -87.44393348693848, 'veh2': 0, 'veh3': 0, 'veh4': -106.30677223205566}, 'veh4': {'veh1': -101.48434638977051, 'veh2': 0, 'veh3': -106.30677223205566, 'veh4': 0}}" "{'veh1': {'veh1': 0, 'veh2': -200, 'veh3': 23.016305923461914, 'veh4': 19.253353118896484}, 'veh2': {'veh1': -200, 'veh2': 0, 'veh3': -200, 'veh4': -200}, 'veh3': {'veh1': 23.016305923461914, 'veh2': -200, 'veh3': 0, 'veh4': 23.016305923461914}, 'veh4': {'veh1': 19.243806838989258, 'veh2': -200, 'veh3': 23.016305923461914, 'veh4': 0}}"
