Frame Cars_Data RSSI
80 "[{'vehId': 'veh3', 'x_coor': 252.17892308731012, 'y_coor': 130.42641356258537, 'z_coor': 11.437771797180176, 'angle': -2.5270827824165107, 'velocity': 15.065133229889781}, {'vehId': 'veh7', 'x_coor': 28.75254451096697, 'y_coor': 76.4107969399683, 'z_coor': 10.603554725646973, 'angle': -5.666582950513973, 'velocity': 13.984399983904087}, {'vehId': 'veh9', 'x_coor': 157.8153317168456, 'y_coor': 164.62910752449028, 'z_coor': 10.319233894348145, 'angle': -5.796695639371578, 'velocity': 14.064159323148683}]" "{'veh3': {'veh3': 0, 'veh7': -91.09384536743164, 'veh9': -81.87150955200195}, 'veh7': {'veh3': -91.36039733886719, 'veh7': 0, 'veh9': -85.66926002502441}, 'veh9': {'veh3': -81.94732666015625, 'veh7': -85.65712928771973, 'veh9': 0}}"
81 "[{'vehId': 'veh3', 'x_coor': 262.7093710272266, 'y_coor': 137.64646965206344, 'z_coor': 11.320610046386719, 'angle': -2.541252613126314, 'velocity': 12.76927264012631}, {'vehId': 'veh7', 'x_coor': 17.691817195488113, 'y_coor': 68.3950068061817, 'z_coor': 9.825884819030762, 'angle': -5.6554745550991905, 'velocity': 13.648996409366601}, {'vehId': 'veh9', 'x_coor': 145.09983785046842, 'y_coor': 157.90404146916296, 'z_coor': 10.0, 'angle': -5.79669563937157, 'velocity': 14.384060516943476}]" "{'veh3': {'veh3': 0, 'veh7': -93.34808349609375, 'veh9': -85.01163482666016}, 'veh7': {'veh3': -93.4361457824707, 'veh7': 0, 'veh9': -90.09334564208984}, 'veh9': {'veh3': -84.9970817565918, 'veh7': -90.12126922607422, 'veh9': 0}}"
82 "[{'vehId': 'veh3', 'x_coor': 270.1097488569848, 'y_coor': 142.5595902731659, 'z_coor': 10.97962474822998, 'angle': -2.558025504826344, 'velocity': 8.884924316542087}, {'vehId': 'veh7', 'x_coor': 6.554058483566678, 'y_coor': 60.26421611805739, 'z_coor': 9.037054061889648, 'angle': -5.652444165648484, 'velocity': 13.796013601718233}, {'vehId': 'veh9', 'x_coor': 132.23571953944776, 'y_coor': 150.57375030344286, 'z_coor': 10.06716251373291, 'angle': -5.7489481083598974, 'velocity': 14.558181966481984}]" "{'veh3': {'veh3': 0, 'veh7': -101.4747428894043, 'veh9': -86.81869506835938}, 'veh7': {'veh3': -101.90256118774414, 'veh7': 0, 'veh9': -90.11510848999023}, 'veh9': {'veh3': -86.88447952270508, 'veh7': -90.0550365447998, 'veh9': 0}}"
83 "[{'vehId': 'veh12', 'x_coor': 169.60987106411318, 'y_coor': 106.3467478534725, 'z_coor': 7.8561601638793945, 'angle': -5.723437359214607, 'velocity': 0.0}, {'vehId': 'veh3', 'x_coor': 274.054447277266, 'y_coor': 145.16419079805542, 'z_coor': 10.72695541381836, 'angle': -2.558025504826344, 'velocity': 4.728140266817857}, {'vehId': 'veh7', 'x_coor': -4.683397846677849, 'y_coor': 52.0130746750753, 'z_coor': 8.72226333618164, 'angle': -5.647753677084022, 'velocity': 13.946151318459533}, {'vehId': 'veh9', 'x_coor': 119.53797256801118, 'y_coor': 142.57566068948745, 'z_coor': 10.325803756713867, 'angle': -5.718344584003517, 'velocity': 14.946309403832323}]" "{'veh12': {'veh12': 0, 'veh3': -86.44743919372559, 'veh7': -98.86285781860352, 'veh9': -78.25041770935059}, 'veh3': {'veh12': -86.44536018371582, 'veh3': 0, 'veh7': -102.49549865722656, 'veh9': -89.91488456726074}, 'veh7': {'veh12': -95.6041145324707, 'veh3': -102.49552726745605, 'veh7': 0, 'veh9': -88.9036750793457}, 'veh9': {'veh12': -78.25290203094482, 'veh3': -89.93751525878906, 'veh7': -88.88614654541016, 'veh9': 0}}"
84 "[{'vehId': 'veh12', 'x_coor': 168.2941316799591, 'y_coor': 105.5223075743989, 'z_coor': 7.645750999450684, 'angle': -5.7234373592145955, 'velocity': 1.549669988709502}, {'vehId': 'veh3', 'x_coor': 279.9184979713853, 'y_coor': 145.39728081302474, 'z_coor': 10.704378128051758, 'angle': -3.208367643166621, 'velocity': 6.030625438989004}, {'vehId': 'veh7', 'x_coor': -15.804727686399474, 'y_coor': 43.73278338641694, 'z_coor': 8.0, 'angle': -5.64256009256847, 'velocity': 13.866255521064387}, {'vehId': 'veh9', 'x_coor': 106.96038221213053, 'y_coor': 134.6050711103489, 'z_coor': 10.583556175231934, 'angle': -5.71834458400352, 'velocity': 14.861732942740685}]" "{'veh12': {'veh12': 0, 'veh3': -96.42356872558594, 'veh7': -102.81634330749512, 'veh9': -80.09500503540039}, 'veh3': {'veh12': -96.3825798034668, 'veh3': 0, 'veh7': -200, 'veh9': -89.98678207397461}, 'veh7': {'veh12': -102.8145694732666, 'veh3': -200, 'veh7': 0, 'veh9': -88.8060188293457}, 'veh9': {'veh12': -80.09464263916016, 'veh3': -89.5618724822998, 'veh7': -88.80600929260254, 'veh9': 0}}"
85 "[{'vehId': 'veh12', 'x_coor': 165.58243520801244, 'y_coor': 103.82316272624826, 'z_coor': 7.212106227874756, 'angle': -5.723437359214607, 'velocity': 3.1938199096824977}, {'vehId': 'veh3', 'x_coor': 287.18082557242946, 'y_coor': 145.2581441914611, 'z_coor': 10.71792221069336, 'angle': -2.8964428772378072, 'velocity': 7.407379213553717}, {'vehId': 'veh7', 'x_coor': -24.94999894660708, 'y_coor': 36.914836656725754, 'z_coor': 8.0, 'angle': -5.642560092568463, 'velocity': 11.407604015270849}, {'vehId': 'veh9', 'x_coor': 95.06810005265106, 'y_coor': 126.6886184064602, 'z_coor': 11.0, 'angle': -5.659752224635854, 'velocity': 14.264457275009967}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -99.9433422088623, 'veh9': -81.9074821472168}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -90.9618091583252}, 'veh7': {'veh12': -99.93982315063477, 'veh3': -200, 'veh7': 0, 'veh9': -88.3218002319336}, 'veh9': {'veh12': -81.93830490112305, 'veh3': -90.96175193786621, 'veh7': -88.3173656463623, 'veh9': 0}}"
86 "[{'vehId': 'veh12', 'x_coor': 161.2834847638041, 'y_coor': 101.12944697476212, 'z_coor': 6.524633884429932, 'angle': -5.723437359214586, 'velocity': 5.063278158707544}, {'vehId': 'veh3', 'x_coor': 295.95130062075356, 'y_coor': 149.5099379714461, 'z_coor': 10.407305717468262, 'angle': -2.69019105401732, 'velocity': 9.74741444706065}, {'vehId': 'veh7', 'x_coor': -31.948208851329582, 'y_coor': 31.69755868037936, 'z_coor': 8.0, 'angle': -5.642560092568463, 'velocity': 8.729408361694448}, {'vehId': 'veh9', 'x_coor': 83.20318121505153, 'y_coor': 118.15650105774176, 'z_coor': 11.145002365112305, 'angle': -5.659752224635854, 'velocity': 14.585944980908438}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -86.41082763671875}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -91.82489395141602}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -88.07235717773438}, 'veh9': {'veh12': -86.40156745910645, 'veh3': -91.83187484741211, 'veh7': -88.06818962097168, 'veh9': 0}}"
87 "[{'vehId': 'veh12', 'x_coor': 155.69943001703558, 'y_coor': 97.63069261840792, 'z_coor': 5.45307731628418, 'angle': -5.7234721661829235, 'velocity': 6.57675728625618}, {'vehId': 'veh3', 'x_coor': 306.0187899277906, 'y_coor': 154.39050466593835, 'z_coor': 9.944014549255371, 'angle': -2.69019105401732, 'velocity': 11.188902559593185}, {'vehId': 'veh7', 'x_coor': -35.338849575368386, 'y_coor': 29.169781517923354, 'z_coor': 8.0, 'angle': -5.642560092568463, 'velocity': 4.229408361694448}, {'vehId': 'veh9', 'x_coor': 71.92577823182802, 'y_coor': 110.04686904435346, 'z_coor': 11.377729415893555, 'angle': -5.659752224635854, 'velocity': 13.86369192173171}]" "{'veh12': {'veh12': 0, 'veh3': -98.39645385742188, 'veh7': -200, 'veh9': -92.23268508911133}, 'veh3': {'veh12': -97.98284530639648, 'veh3': 0, 'veh7': -200, 'veh9': -93.21212768554688}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -87.5346851348877}, 'veh9': {'veh12': -92.15271949768066, 'veh3': -93.22724342346191, 'veh7': -87.52994537353516, 'veh9': 0}}"
88 "[{'vehId': 'veh12', 'x_coor': 148.3762702691866, 'y_coor': 93.0425914283191, 'z_coor': 3.924807071685791, 'angle': -5.72349418085547, 'velocity': 8.624866746272893}, {'vehId': 'veh3', 'x_coor': 318.2921700397564, 'y_coor': 160.34045389125652, 'z_coor': 10.297088623046875, 'angle': -2.6901910540173204, 'velocity': 13.64050658128304}, {'vehId': 'veh7', 'x_coor': -40.50811963844427, 'y_coor': 26.125128470538527, 'z_coor': 8.357916831970215, 'angle': -5.762376446725156, 'velocity': 6.019793628483683}, {'vehId': 'veh9', 'x_coor': 60.60140908429173, 'y_coor': 101.89942182499982, 'z_coor': 11.641206741333008, 'angle': -5.659330067592766, 'velocity': 13.977467129090122}]" "{'veh12': {'veh12': 0, 'veh3': -98.50733757019043, 'veh7': -200, 'veh9': -92.36222267150879}, 'veh3': {'veh12': -98.50719451904297, 'veh3': 0, 'veh7': -200, 'veh9': -93.34487915039062}, 'veh7': {'veh12': -200, 'veh3': -121.41677856445312, 'veh7': 0, 'veh9': -83.16341400146484}, 'veh9': {'veh12': -92.17775344848633, 'veh3': -93.37445259094238, 'veh7': -82.66424179077148, 'veh9': 0}}"
89 "[{'vehId': 'veh12', 'x_coor': 139.27043983462175, 'y_coor': 87.30956173216993, 'z_coor': 2.05625581741333, 'angle': -5.718749082688082, 'velocity': 10.739528307388538}, {'vehId': 'veh3', 'x_coor': 331.7009085191891, 'y_coor': 166.84080769765512, 'z_coor': 10.71567153930664, 'angle': -2.69019105401732, 'velocity': 14.902332023195797}, {'vehId': 'veh7', 'x_coor': -46.93011388171823, 'y_coor': 26.31447765339152, 'z_coor': 8.708759307861328, 'angle': -6.458173197200998, 'velocity': 6.856713608812071}, {'vehId': 'veh9', 'x_coor': 48.71672999334544, 'y_coor': 93.34744798701496, 'z_coor': 11.917766571044922, 'angle': -5.659455364558198, 'velocity': 14.619677730080925}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -88.22025299072266}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -109.6737289428711, 'veh9': -94.90544319152832}, 'veh7': {'veh12': -200, 'veh3': -121.76206588745117, 'veh7': 0, 'veh9': -85.74501037597656}, 'veh9': {'veh12': -88.68024826049805, 'veh3': -94.96114730834961, 'veh7': -85.8899974822998, 'veh9': 0}}"
90 "[{'vehId': 'veh12', 'x_coor': 129.1093997788301, 'y_coor': 80.63684927951704, 'z_coor': -0.09954502433538437, 'angle': -5.702117405226456, 'velocity': 12.13243506392464}, {'vehId': 'veh3', 'x_coor': 345.51512953681384, 'y_coor': 173.515945032608, 'z_coor': 10.523712158203125, 'angle': -2.6915697106712626, 'velocity': 15.34348930573544}, {'vehId': 'veh7', 'x_coor': -51.77050111622896, 'y_coor': 31.523922038416003, 'z_coor': 8.564535140991211, 'angle': -7.134905669133519, 'velocity': 7.112377448283597}, {'vehId': 'veh9', 'x_coor': 39.77806830167441, 'y_coor': 83.4326960217092, 'z_coor': 11.284796714782715, 'angle': -5.165195245137428, 'velocity': 14.204914380530148}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -88.96021842956543}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -92.09871292114258}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -84.93270874023438}, 'veh9': {'veh12': -88.88190269470215, 'veh3': -92.20639228820801, 'veh7': -85.09265899658203, 'veh9': 0}}"
91 "[{'vehId': 'veh12', 'x_coor': 117.26042263064875, 'y_coor': 72.81149318420552, 'z_coor': -2.7695729732513428, 'angle': -5.694745048734819, 'velocity': 14.172525102482178}, {'vehId': 'veh3', 'x_coor': 359.1466630308682, 'y_coor': 180.10111206758017, 'z_coor': 10.457801818847656, 'angle': -2.6915697106712626, 'velocity': 15.13983972798089}, {'vehId': 'veh7', 'x_coor': -57.77334234708155, 'y_coor': 38.38090800623877, 'z_coor': 8.390705108642578, 'angle': -7.134905669133519, 'velocity': 9.07957972802361}, {'vehId': 'veh9', 'x_coor': 27.481682882570794, 'y_coor': 75.49046054502514, 'z_coor': 10.514266967773438, 'angle': -5.658905003056925, 'velocity': 14.647589619703844}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -200}, 'veh3': {'veh12': -107.63944625854492, 'veh3': 0, 'veh7': -200, 'veh9': -96.23475074768066}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -83.25666427612305}, 'veh9': {'veh12': -200, 'veh3': -96.31402015686035, 'veh7': -83.25531959533691, 'veh9': 0}}"
92 "[{'vehId': 'veh12', 'x_coor': 103.75211661604465, 'y_coor': 63.447225176150994, 'z_coor': -6.921417236328125, 'angle': -5.6770221812048955, 'velocity': 16.40460473175626}, {'vehId': 'veh3', 'x_coor': 371.33813553431304, 'y_coor': 187.82282880062758, 'z_coor': 10.458352088928223, 'angle': -2.6395969016109575, 'velocity': 14.477798152775378}, {'vehId': 'veh7', 'x_coor': -65.04808655658303, 'y_coor': 46.690776124634226, 'z_coor': 7.853241443634033, 'angle': -7.134905669133519, 'velocity': 11.003392812001048}, {'vehId': 'veh9', 'x_coor': 15.542366666237115, 'y_coor': 66.82793249808066, 'z_coor': 9.673851013183594, 'angle': -5.654229764991729, 'velocity': 14.740979594913565}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -200}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -96.35822296142578}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -88.72325897216797}, 'veh9': {'veh12': -200, 'veh3': -97.01396942138672, 'veh7': -88.95204544067383, 'veh9': 0}}"
93 "[{'vehId': 'veh12', 'x_coor': 90.79504277161959, 'y_coor': 54.122049248397616, 'z_coor': -10.632524490356445, 'angle': -5.649788790342473, 'velocity': 15.934067158027762}, {'vehId': 'veh3', 'x_coor': 384.77916037961785, 'y_coor': 194.44668256428383, 'z_coor': 10.314631462097168, 'angle': -2.683714630035183, 'velocity': 14.983915892676325}, {'vehId': 'veh7', 'x_coor': -73.63331308368168, 'y_coor': 56.497595189634524, 'z_coor': 7.218957424163818, 'angle': -7.134905669133511, 'velocity': 12.985558960862917}, {'vehId': 'veh9', 'x_coor': 4.190187932067545, 'y_coor': 58.537998509159195, 'z_coor': 8.956526756286621, 'angle': -5.652444165648492, 'velocity': 14.064452651389196}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -200}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -105.24738311767578}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -82.63611793518066}, 'veh9': {'veh12': -200, 'veh3': -105.24738311767578, 'veh7': -82.71492004394531, 'veh9': 0}}"
