Frame Cars_Data PathLoss RSSI
1 "[{'vehId': 'veh0', 'x_coor': 244.74531334160082, 'y_coor': -288.04853591272064, 'z_coor': 14.4323148727417, 'angle': -7.051485498639049, 'velocity': 14.723400000000002}]" "{'veh0': {}}" "{'veh0': {}}"
2 "[{'vehId': 'veh0', 'x_coor': 234.8017285414092, 'y_coor': -278.43929731984224, 'z_coor': 15.373377799987793, 'angle': -7.0514854986390505, 'velocity': 13.838095097366349}]" "{'veh0': {}}" "{'veh0': {}}"
3 "[{'vehId': 'veh0', 'x_coor': 224.51478889104357, 'y_coor': -268.4982489477302, 'z_coor': 16.60771942138672, 'angle': -7.051485498639051, 'velocity': 14.31592851100173}]" "{'veh0': {}}" "{'veh0': {}}"
4 "[{'vehId': 'veh0', 'x_coor': 214.83322136330725, 'y_coor': -258.99920547276247, 'z_coor': 17.778675079345703, 'angle': -7.072071219908212, 'velocity': 13.574309543968738}]" "{'veh0': {}}" "{'veh0': {}}"
5 "[{'vehId': 'veh0', 'x_coor': 205.31752571354008, 'y_coor': -249.3804497513413, 'z_coor': 18.947837829589844, 'angle': -7.066894502454568, 'velocity': 13.540444026404622}]" "{'veh0': {}}" "{'veh0': {}}"
6 "[{'vehId': 'veh0', 'x_coor': 194.9168311436203, 'y_coor': -239.01482885960803, 'z_coor': 17.902511596679688, 'angle': -7.066894502454568, 'velocity': 14.69479107049443}]" "{'veh0': {}}" "{'veh0': {}}"
7 "[{'vehId': 'veh0', 'x_coor': 184.54997031516058, 'y_coor': -228.68292761370873, 'z_coor': 16.85531997680664, 'angle': -7.066894502454553, 'velocity': 14.646988516679594}]" "{'veh0': {}}" "{'veh0': {}}"
8 "[{'vehId': 'veh0', 'x_coor': 174.95104903738053, 'y_coor': -219.11637623907032, 'z_coor': 16.303524017333984, 'angle': -7.066894502454568, 'velocity': 13.561992589134352}]" "{'veh0': {}}" "{'veh0': {}}"
9 "[{'vehId': 'veh0', 'x_coor': 165.33251870941507, 'y_coor': -209.478666001892, 'z_coor': 15.382583618164062, 'angle': -7.071786534574878, 'velocity': 13.777850920643287}]" "{'veh0': {}}" "{'veh0': {}}"
10 "[{'vehId': 'veh0', 'x_coor': 155.5313642881029, 'y_coor': -199.54973759253144, 'z_coor': 14.982688903808594, 'angle': -7.076182716340509, 'velocity': 14.003257144737617}]" "{'veh0': {}}" "{'veh0': {}}"
11 "[{'vehId': 'veh0', 'x_coor': 146.03631099501666, 'y_coor': -189.90926594335247, 'z_coor': 14.593188285827637, 'angle': -7.076182716340509, 'velocity': 13.500946323556455}]" "{'veh0': {}}" "{'veh0': {}}"
12 "[{'vehId': 'veh0', 'x_coor': 135.7386661730646, 'y_coor': -179.45391093953904, 'z_coor': 14.95063304901123, 'angle': -7.076182716340529, 'velocity': 14.642145305435733}]" "{'veh0': {}}" "{'veh0': {}}"
13 "[{'vehId': 'veh0', 'x_coor': 125.56055480235142, 'y_coor': -169.1199200621005, 'z_coor': 14.464262962341309, 'angle': -7.076182716340509, 'velocity': 14.472181571770088}]" "{'veh0': {}}" "{'veh0': {}}"
14 "[{'vehId': 'veh0', 'x_coor': 115.47884893604862, 'y_coor': -158.88381115576888, 'z_coor': 14.109107971191406, 'angle': -7.076182716340521, 'velocity': 14.335103295307235}]" "{'veh0': {}}" "{'veh0': {}}"
15 "[{'vehId': 'veh0', 'x_coor': 105.99087839976147, 'y_coor': -149.25053073701403, 'z_coor': 13.339263916015625, 'angle': -7.076182716340513, 'velocity': 13.490875403845312}]" "{'veh0': {}}" "{'veh0': {}}"
16 "[{'vehId': 'veh0', 'x_coor': 95.95144179003938, 'y_coor': -138.94676399576613, 'z_coor': 12.524249076843262, 'angle': -7.087307873751382, 'velocity': 14.457169532665612}]" "{'veh0': {}}" "{'veh0': {}}"
17 "[{'vehId': 'veh0', 'x_coor': 86.52966127525616, 'y_coor': -128.98263667966955, 'z_coor': 11.440980911254883, 'angle': -7.098580353649048, 'velocity': 14.015103212982977}]" "{'veh0': {}}" "{'veh0': {}}"
18 "[{'vehId': 'veh0', 'x_coor': 76.73521179542394, 'y_coor': -118.58222247261759, 'z_coor': 11.114532470703125, 'angle': -7.098580353649052, 'velocity': 14.63028563627191}]" "{'veh0': {}}" "{'veh0': {}}"
19 "[{'vehId': 'veh0', 'x_coor': 67.20132498453393, 'y_coor': -108.4584914716483, 'z_coor': 11.221250534057617, 'angle': -7.098580353649052, 'velocity': 14.241074759170042}]" "{'veh0': {}}" "{'veh0': {}}"
20 "[{'vehId': 'veh0', 'x_coor': 58.18902985716801, 'y_coor': -98.88862208043801, 'z_coor': 11.730878829956055, 'angle': -7.098580353649052, 'velocity': 13.461956409417652}]" "{'veh0': {}}" "{'veh0': {}}"
21 "[{'vehId': 'veh0', 'x_coor': 48.983549110254444, 'y_coor': -89.11361502771058, 'z_coor': 12.363121032714844, 'angle': -7.098580353649057, 'velocity': 13.750524010957779}]" "{'veh0': {}}" "{'veh0': {}}"
22 "[{'vehId': 'veh0', 'x_coor': 39.95183592539257, 'y_coor': -79.52312621919975, 'z_coor': 12.983427047729492, 'angle': -7.098580353649052, 'velocity': 13.49096178927608}, {'vehId': 'veh3', 'x_coor': 252.62697734074385, 'y_coor': -139.5696536981616, 'z_coor': 14.450385093688965, 'angle': -5.63422489921534, 'velocity': 0.0}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 129.78924560546875}, 'veh3': {'veh0': 129.78924560546875, 'veh3': 0}}"
23 "[{'vehId': 'veh0', 'x_coor': 30.42612163152444, 'y_coor': -69.40807335397625, 'z_coor': 13.63284969329834, 'angle': -7.098580353649049, 'velocity': 14.22886720644925}, {'vehId': 'veh3', 'x_coor': 251.0060545753159, 'y_coor': -140.79922947900283, 'z_coor': 14.490143775939941, 'angle': -5.63422489921534, 'velocity': 2.0296243834774943}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 129.37283325195312}, 'veh3': {'veh0': 129.37283325195312, 'veh3': 0}}"
24 "[{'vehId': 'veh0', 'x_coor': 20.883665421868216, 'y_coor': -59.27524278116698, 'z_coor': 13.446599006652832, 'angle': -7.098580353649049, 'velocity': 14.25387514697537}, {'vehId': 'veh3', 'x_coor': 247.82426506834184, 'y_coor': -143.21282462428238, 'z_coor': 14.568193435668945, 'angle': -5.63422489921534, 'velocity': 3.98405013747979}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 129.00167846679688}, 'veh3': {'veh0': 129.00167846679688, 'veh3': 0}}"
25 "[{'vehId': 'veh0', 'x_coor': 12.92633318531773, 'y_coor': -46.329502267141265, 'z_coor': 13.0, 'angle': -7.447920922757327, 'velocity': 13.462965458032304}, {'vehId': 'veh3', 'x_coor': 242.59885451635438, 'y_coor': -147.1766398021016, 'z_coor': 14.696371078491211, 'angle': -5.63422489921534, 'velocity': 6.5429525059415035}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 128.68881225585938}, 'veh3': {'veh0': 128.68881225585938, 'veh3': 0}}"
26 "[{'vehId': 'veh0', 'x_coor': 1.6151171617206046, 'y_coor': -34.31809575996073, 'z_coor': 13.0, 'angle': -6.922807218193064, 'velocity': 15.128925915068578}, {'vehId': 'veh3', 'x_coor': 237.09491602295844, 'y_coor': -151.43039904384128, 'z_coor': 15.08144760131836, 'angle': -5.6217109109687255, 'velocity': 6.94332883934503}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 128.2776641845703}, 'veh3': {'veh0': 128.2776641845703, 'veh3': 0}}"
27 "[{'vehId': 'veh0', 'x_coor': -9.129009652863658, 'y_coor': -22.537054579509856, 'z_coor': 12.33077621459961, 'angle': -7.196341640235714, 'velocity': 16.454503284971977}, {'vehId': 'veh3', 'x_coor': 232.01067639893353, 'y_coor': -155.7194537023583, 'z_coor': 15.416058540344238, 'angle': -5.582419663256731, 'velocity': 6.649888778911099}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 127.87471008300781}, 'veh3': {'veh0': 127.87471008300781, 'veh3': 0}}"
28 "[{'vehId': 'veh0', 'x_coor': -19.145005623504005, 'y_coor': -9.568514949572545, 'z_coor': 11.49199104309082, 'angle': -7.196341640235714, 'velocity': 16.7514834863551}, {'vehId': 'veh3', 'x_coor': 226.03523175569927, 'y_coor': -160.76032718178047, 'z_coor': 15.895223617553711, 'angle': -5.5824196632567356, 'velocity': 7.81553294504074}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 127.48651123046875}, 'veh3': {'veh0': 127.48651123046875, 'veh3': 0}}"
29 "[{'vehId': 'veh0', 'x_coor': -29.18417432431687, 'y_coor': 3.4300283335668382, 'z_coor': 10.476897239685059, 'angle': -7.196341640235714, 'velocity': 16.790239253425785}, {'vehId': 'veh3', 'x_coor': 220.30538553888567, 'y_coor': -165.42603976193328, 'z_coor': 16.0, 'angle': -5.600962283540405, 'velocity': 7.389073144914709}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 127.09658813476562}, 'veh3': {'veh0': 127.09658813476562, 'veh3': 0}}"
30 "[{'vehId': 'veh0', 'x_coor': -39.32143468894799, 'y_coor': 16.55557901899772, 'z_coor': 9.21810531616211, 'angle': -7.196341640235714, 'velocity': 16.95429491912462}, {'vehId': 'veh3', 'x_coor': 214.68874866272614, 'y_coor': -169.9886851585613, 'z_coor': 16.0, 'angle': -5.600962283540391, 'velocity': 7.23626329429926}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 126.70449829101562}, 'veh3': {'veh0': 126.70449829101562, 'veh3': 0}}"
31 "[{'vehId': 'veh0', 'x_coor': -49.689090766070706, 'y_coor': 29.146347650647442, 'z_coor': 8.598648071289062, 'angle': -7.14659617243509, 'velocity': 16.49270871048309}, {'vehId': 'veh3', 'x_coor': 209.21747775740533, 'y_coor': -174.4332432740818, 'z_coor': 15.999999046325684, 'angle': -5.600962283540391, 'velocity': 7.048979255431458}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 126.3212890625}, 'veh3': {'veh0': 126.3212890625, 'veh3': 0}}"
32 "[{'vehId': 'veh0', 'x_coor': -60.80996991862571, 'y_coor': 41.84961754674157, 'z_coor': 8.166357040405273, 'angle': -7.134905669133512, 'velocity': 16.820852830884792}, {'vehId': 'veh3', 'x_coor': 203.3529577492754, 'y_coor': -179.19725522794386, 'z_coor': 16.0, 'angle': -5.60096228354041, 'velocity': 7.555626580319494}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 125.93217468261719}, 'veh3': {'veh0': 125.93217468261719, 'veh3': 0}}"
33 "[{'vehId': 'veh0', 'x_coor': -72.03367905373875, 'y_coor': 54.67034911146152, 'z_coor': 7.337140083312988, 'angle': -7.134905669133512, 'velocity': 16.976388016501257}, {'vehId': 'veh3', 'x_coor': 197.34998217118874, 'y_coor': -184.07374083513787, 'z_coor': 15.403501510620117, 'angle': -5.60096228354041, 'velocity': 7.7340075191018505}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 125.54975891113281}, 'veh3': {'veh0': 125.54975891113281, 'veh3': 0}}"
34 "[{'vehId': 'veh0', 'x_coor': -83.4624825299507, 'y_coor': 67.55453390692162, 'z_coor': 7.5523762702941895, 'angle': -7.112482557013541, 'velocity': 17.159919882654027}, {'vehId': 'veh3', 'x_coor': 191.9933130791265, 'y_coor': -188.4252027709981, 'z_coor': 14.62712287902832, 'angle': -5.600962283540396, 'velocity': 6.901330597875766}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 125.17079162597656}, 'veh3': {'veh0': 125.17079162597656, 'veh3': 0}}"
35 "[{'vehId': 'veh0', 'x_coor': -94.77712102537248, 'y_coor': 79.8581459798616, 'z_coor': 8.0, 'angle': -7.110432301391462, 'velocity': 16.65339923109375}, {'vehId': 'veh3', 'x_coor': 186.12239598469642, 'y_coor': -193.19441136423757, 'z_coor': 14.49919605255127, 'angle': -5.60096228354041, 'velocity': 7.563868345241189}]" "{'veh0': {'veh0': 0, 'veh3': -200}, 'veh3': {'veh0': -200, 'veh3': 0}}" "{'veh0': {'veh0': 0, 'veh3': 124.81565856933594}, 'veh3': {'veh0': 124.81565856933594, 'veh3': 0}}"
